geoName,abandoned
Alabama,66
Alaska,91
Arizona,71
Arkansas,63
California,62
Colorado,58
Connecticut,76
Delaware,70
District of Columbia,61
Florida,65
Georgia,58
Hawaii,73
Idaho,75
Illinois,59
Indiana,87
Iowa,63
Kansas,78
Kentucky,73
Louisiana,68
Maine,98
Maryland,75
Massachusetts,79
Michigan,72
Minnesota,54
Mississippi,52
Missouri,77
Montana,85
Nebraska,68
Nevada,67
New Hampshire,92
New Jersey,75
New Mexico,66
New York,73
North Carolina,66
North Dakota,77
Ohio,78
Oklahoma,80
Oregon,79
Pennsylvania,93
Rhode Island,74
South Carolina,63
South Dakota,47
Tennessee,69
Texas,60
Utah,65
Vermont,79
Virginia,75
Washington,71
West Virginia,92
Wisconsin,69
Wyoming,100
