date,abandoned,isPartial
2013-01-06,55,False
2013-01-13,59,False
2013-01-20,61,False
2013-01-27,64,False
2013-02-03,59,False
2013-02-10,64,False
2013-02-17,57,False
2013-02-24,66,False
2013-03-03,64,False
2013-03-10,70,False
2013-03-17,73,False
2013-03-24,76,False
2013-03-31,83,False
2013-04-07,74,False
2013-04-14,68,False
2013-04-21,71,False
2013-04-28,78,False
2013-05-05,66,False
2013-05-12,70,False
2013-05-19,78,False
2013-05-26,79,False
2013-06-02,74,False
2013-06-09,68,False
2013-06-16,74,False
2013-06-23,74,False
2013-06-30,100,False
2013-07-07,75,False
2013-07-14,82,False
2013-07-21,91,False
2013-07-28,94,False
2013-08-04,82,False
2013-08-11,81,False
2013-08-18,78,False
2013-08-25,86,False
2013-09-01,76,False
2013-09-08,81,False
2013-09-15,73,False
2013-09-22,70,False
2013-09-29,72,False
2013-10-06,78,False
2013-10-13,92,False
2013-10-20,81,False
2013-10-27,91,False
2013-11-03,79,False
2013-11-10,75,False
2013-11-17,75,False
2013-11-24,68,False
2013-12-01,73,False
2013-12-08,70,False
2013-12-15,67,False
2013-12-22,72,False
2013-12-29,93,False
