geoName,abnormal
Alabama,94
Alaska,61
Arizona,64
Arkansas,81
California,57
Colorado,51
Connecticut,67
Delaware,81
District of Columbia,50
Florida,69
Georgia,66
Hawaii,59
Idaho,65
Illinois,66
Indiana,79
Iowa,69
Kansas,53
Kentucky,82
Louisiana,87
Maine,72
Maryland,76
Massachusetts,60
Michigan,68
Minnesota,62
Mississippi,99
Missouri,73
Montana,62
Nebraska,75
Nevada,65
New Hampshire,55
New Jersey,71
New Mexico,75
New York,61
North Carolina,70
North Dakota,84
Ohio,66
Oklahoma,73
Oregon,38
Pennsylvania,71
Rhode Island,64
South Carolina,76
South Dakota,78
Tennessee,88
Texas,67
Utah,46
Vermont,63
Virginia,58
Washington,51
West Virginia,100
Wisconsin,63
Wyoming,63
