geoName,affect
Alabama,97
Alaska,80
Arizona,83
Arkansas,100
California,75
Colorado,78
Connecticut,84
Delaware,91
District of Columbia,65
Florida,78
Georgia,82
Hawaii,84
Idaho,97
Illinois,73
Indiana,94
Iowa,94
Kansas,81
Kentucky,92
Louisiana,87
Maine,95
Maryland,88
Massachusetts,71
Michigan,85
Minnesota,81
Mississippi,90
Missouri,80
Montana,91
Nebraska,86
Nevada,73
New Hampshire,82
New Jersey,77
New Mexico,94
New York,76
North Carolina,91
North Dakota,92
Ohio,86
Oklahoma,83
Oregon,52
Pennsylvania,83
Rhode Island,81
South Carolina,99
South Dakota,98
Tennessee,86
Texas,77
Utah,85
Vermont,89
Virginia,79
Washington,74
West Virginia,100
Wisconsin,85
Wyoming,96
