geoName,agitated
Alabama,56
Alaska,48
Arizona,53
Arkansas,86
California,61
Colorado,37
Connecticut,49
Delaware,31
District of Columbia,38
Florida,57
Georgia,43
Hawaii,85
Idaho,28
Illinois,53
Indiana,57
Iowa,41
Kansas,53
Kentucky,53
Louisiana,48
Maine,38
Maryland,64
Massachusetts,66
Michigan,60
Minnesota,52
Mississippi,50
Missouri,65
Montana,47
Nebraska,61
Nevada,81
New Hampshire,50
New Jersey,61
New Mexico,58
New York,60
North Carolina,48
North Dakota,0
Ohio,59
Oklahoma,45
Oregon,41
Pennsylvania,63
Rhode Island,43
South Carolina,28
South Dakota,100
Tennessee,69
Texas,48
Utah,31
Vermont,54
Virginia,62
Washington,63
West Virginia,32
Wisconsin,61
Wyoming,31
