geoName,agony
Alabama,57
Alaska,96
Arizona,73
Arkansas,60
California,65
Colorado,61
Connecticut,73
Delaware,55
District of Columbia,46
Florida,53
Georgia,55
Hawaii,51
Idaho,57
Illinois,64
Indiana,70
Iowa,72
Kansas,77
Kentucky,70
Louisiana,71
Maine,57
Maryland,65
Massachusetts,61
Michigan,59
Minnesota,63
Mississippi,56
Missouri,69
Montana,72
Nebraska,57
Nevada,70
New Hampshire,71
New Jersey,70
New Mexico,89
New York,66
North Carolina,49
North Dakota,51
Ohio,63
Oklahoma,59
Oregon,62
Pennsylvania,61
Rhode Island,60
South Carolina,58
South Dakota,59
Tennessee,60
Texas,58
Utah,74
Vermont,100
Virginia,58
Washington,66
West Virginia,64
Wisconsin,59
Wyoming,41
