geoName,aid
Alabama,55
Alaska,43
Arizona,40
Arkansas,46
California,64
Colorado,43
Connecticut,61
Delaware,84
District of Columbia,73
Florida,45
Georgia,58
Hawaii,45
Idaho,63
Illinois,46
Indiana,44
Iowa,45
Kansas,45
Kentucky,63
Louisiana,54
Maine,100
Maryland,69
Massachusetts,63
Michigan,63
Minnesota,40
Mississippi,58
Missouri,41
Montana,39
Nebraska,43
Nevada,38
New Hampshire,87
New Jersey,73
New Mexico,41
New York,74
North Carolina,64
North Dakota,37
Ohio,60
Oklahoma,56
Oregon,73
Pennsylvania,80
Rhode Island,69
South Carolina,56
South Dakota,37
Tennessee,50
Texas,41
Utah,54
Vermont,88
Virginia,67
Washington,72
West Virginia,80
Wisconsin,38
Wyoming,39
