date,alcohol,isPartial
2016-01-03,84,False
2016-01-10,79,False
2016-01-17,86,False
2016-01-24,85,False
2016-01-31,87,False
2016-02-07,84,False
2016-02-14,86,False
2016-02-21,86,False
2016-02-28,85,False
2016-03-06,84,False
2016-03-13,92,False
2016-03-20,89,False
2016-03-27,91,False
2016-04-03,89,False
2016-04-10,91,False
2016-04-17,89,False
2016-04-24,91,False
2016-05-01,88,False
2016-05-08,89,False
2016-05-15,90,False
2016-05-22,91,False
2016-05-29,91,False
2016-06-05,89,False
2016-06-12,89,False
2016-06-19,91,False
2016-06-26,90,False
2016-07-03,97,False
2016-07-10,86,False
2016-07-17,89,False
2016-07-24,87,False
2016-07-31,86,False
2016-08-07,83,False
2016-08-14,81,False
2016-08-21,86,False
2016-08-28,84,False
2016-09-04,92,False
2016-09-11,88,False
2016-09-18,86,False
2016-09-25,86,False
2016-10-02,82,False
2016-10-09,84,False
2016-10-16,86,False
2016-10-23,92,False
2016-10-30,90,False
2016-11-06,85,False
2016-11-13,90,False
2016-11-20,88,False
2016-11-27,87,False
2016-12-04,91,False
2016-12-11,89,False
2016-12-18,96,False
2016-12-25,100,False
