geoName,alienation
Alabama,34
Alaska,25
Arizona,38
Arkansas,32
California,37
Colorado,38
Connecticut,38
Delaware,27
District of Columbia,30
Florida,37
Georgia,40
Hawaii,40
Idaho,37
Illinois,36
Indiana,51
Iowa,25
Kansas,28
Kentucky,35
Louisiana,31
Maine,69
Maryland,28
Massachusetts,41
Michigan,32
Minnesota,30
Mississippi,100
Missouri,34
Montana,41
Nebraska,30
Nevada,31
New Hampshire,32
New Jersey,49
New Mexico,44
New York,38
North Carolina,69
North Dakota,59
Ohio,42
Oklahoma,36
Oregon,43
Pennsylvania,45
Rhode Island,18
South Carolina,45
South Dakota,80
Tennessee,36
Texas,30
Utah,18
Vermont,47
Virginia,38
Washington,29
West Virginia,72
Wisconsin,36
Wyoming,0
