geoName,alone
Alabama,85
Alaska,94
Arizona,88
Arkansas,100
California,89
Colorado,80
Connecticut,82
Delaware,84
District of Columbia,81
Florida,83
Georgia,89
Hawaii,81
Idaho,78
Illinois,86
Indiana,90
Iowa,78
Kansas,83
Kentucky,96
Louisiana,88
Maine,90
Maryland,83
Massachusetts,88
Michigan,90
Minnesota,85
Mississippi,95
Missouri,88
Montana,89
Nebraska,86
Nevada,88
New Hampshire,83
New Jersey,89
New Mexico,93
New York,89
North Carolina,84
North Dakota,85
Ohio,86
Oklahoma,92
Oregon,64
Pennsylvania,89
Rhode Island,89
South Carolina,91
South Dakota,97
Tennessee,93
Texas,81
Utah,88
Vermont,96
Virginia,93
Washington,85
West Virginia,96
Wisconsin,84
Wyoming,90
