geoName,amenorrhea
Alabama,59
Alaska,58
Arizona,57
Arkansas,54
California,45
Colorado,45
Connecticut,71
Delaware,35
District of Columbia,60
Florida,54
Georgia,57
Hawaii,41
Idaho,100
Illinois,50
Indiana,49
Iowa,57
Kansas,49
Kentucky,56
Louisiana,59
Maine,38
Maryland,53
Massachusetts,47
Michigan,65
Minnesota,60
Mississippi,42
Missouri,72
Montana,35
Nebraska,86
Nevada,38
New Hampshire,49
New Jersey,53
New Mexico,87
New York,52
North Carolina,56
North Dakota,93
Ohio,50
Oklahoma,47
Oregon,28
Pennsylvania,57
Rhode Island,41
South Carolina,56
South Dakota,54
Tennessee,76
Texas,56
Utah,61
Vermont,20
Virginia,38
Washington,52
West Virginia,74
Wisconsin,61
Wyoming,33
