geoName,anger
Alabama,80
Alaska,84
Arizona,87
Arkansas,96
California,81
Colorado,75
Connecticut,87
Delaware,89
District of Columbia,75
Florida,74
Georgia,84
Hawaii,88
Idaho,69
Illinois,76
Indiana,96
Iowa,81
Kansas,80
Kentucky,82
Louisiana,80
Maine,92
Maryland,85
Massachusetts,75
Michigan,84
Minnesota,74
Mississippi,89
Missouri,83
Montana,68
Nebraska,77
Nevada,89
New Hampshire,85
New Jersey,91
New Mexico,76
New York,82
North Carolina,81
North Dakota,78
Ohio,80
Oklahoma,100
Oregon,81
Pennsylvania,89
Rhode Island,75
South Carolina,83
South Dakota,70
Tennessee,80
Texas,82
Utah,77
Vermont,86
Virginia,86
Washington,77
West Virginia,88
Wisconsin,80
Wyoming,82
