geoName,anguish
Alabama,80
Alaska,100
Arizona,62
Arkansas,71
California,65
Colorado,34
Connecticut,75
Delaware,72
District of Columbia,54
Florida,53
Georgia,56
Hawaii,45
Idaho,32
Illinois,52
Indiana,77
Iowa,49
Kansas,43
Kentucky,38
Louisiana,74
Maine,55
Maryland,56
Massachusetts,53
Michigan,58
Minnesota,46
Mississippi,85
Missouri,60
Montana,46
Nebraska,64
Nevada,52
New Hampshire,74
New Jersey,55
New Mexico,69
New York,51
North Carolina,57
North Dakota,59
Ohio,66
Oklahoma,51
Oregon,34
Pennsylvania,55
Rhode Island,70
South Carolina,62
South Dakota,30
Tennessee,56
Texas,56
Utah,39
Vermont,48
Virginia,39
Washington,55
West Virginia,76
Wisconsin,47
Wyoming,0
