geoName,anxiety
Alabama,74
Alaska,67
Arizona,78
Arkansas,88
California,70
Colorado,73
Connecticut,90
Delaware,84
District of Columbia,77
Florida,75
Georgia,74
Hawaii,66
Idaho,68
Illinois,77
Indiana,83
Iowa,80
Kansas,78
Kentucky,93
Louisiana,86
Maine,100
Maryland,82
Massachusetts,93
Michigan,80
Minnesota,83
Mississippi,88
Missouri,81
Montana,63
Nebraska,79
Nevada,65
New Hampshire,92
New Jersey,87
New Mexico,82
New York,80
North Carolina,79
North Dakota,81
Ohio,82
Oklahoma,78
Oregon,78
Pennsylvania,95
Rhode Island,98
South Carolina,75
South Dakota,69
Tennessee,80
Texas,71
Utah,80
Vermont,81
Virginia,81
Washington,78
West Virginia,95
Wisconsin,79
Wyoming,92
