geoName,appetite loss
Alabama,71
Alaska,0
Arizona,61
Arkansas,100
California,60
Colorado,65
Connecticut,88
Delaware,82
District of Columbia,73
Florida,66
Georgia,82
Hawaii,58
Idaho,74
Illinois,71
Indiana,75
Iowa,82
Kansas,68
Kentucky,86
Louisiana,78
Maine,55
Maryland,85
Massachusetts,67
Michigan,73
Minnesota,61
Mississippi,97
Missouri,69
Montana,93
Nebraska,80
Nevada,76
New Hampshire,66
New Jersey,70
New Mexico,53
New York,61
North Carolina,74
North Dakota,42
Ohio,69
Oklahoma,84
Oregon,62
Pennsylvania,70
Rhode Island,53
South Carolina,71
South Dakota,0
Tennessee,70
Texas,67
Utah,72
Vermont,0
Virginia,69
Washington,60
West Virginia,72
Wisconsin,67
Wyoming,0
