date,attitude,isPartial
2014-01-05,79,False
2014-01-12,92,False
2014-01-19,86,False
2014-01-26,84,False
2014-02-02,87,False
2014-02-09,97,False
2014-02-16,92,False
2014-02-23,89,False
2014-03-02,95,False
2014-03-09,90,False
2014-03-16,90,False
2014-03-23,89,False
2014-03-30,90,False
2014-04-06,87,False
2014-04-13,80,False
2014-04-20,86,False
2014-04-27,88,False
2014-05-04,90,False
2014-05-11,85,False
2014-05-18,81,False
2014-05-25,78,False
2014-06-01,81,False
2014-06-08,72,False
2014-06-15,79,False
2014-06-22,73,False
2014-06-29,71,False
2014-07-06,77,False
2014-07-13,81,False
2014-07-20,81,False
2014-07-27,84,False
2014-08-03,81,False
2014-08-10,77,False
2014-08-17,89,False
2014-08-24,94,False
2014-08-31,97,False
2014-09-07,100,False
2014-09-14,94,False
2014-09-21,100,False
2014-09-28,93,False
2014-10-05,91,False
2014-10-12,91,False
2014-10-19,95,False
2014-10-26,98,False
2014-11-02,90,False
2014-11-09,95,False
2014-11-16,96,False
2014-11-23,77,False
2014-11-30,94,False
2014-12-07,96,False
2014-12-14,85,False
2014-12-21,81,False
2014-12-28,84,False
