geoName,breakdown
Alabama,67
Alaska,69
Arizona,64
Arkansas,63
California,62
Colorado,60
Connecticut,70
Delaware,81
District of Columbia,57
Florida,58
Georgia,66
Hawaii,61
Idaho,68
Illinois,59
Indiana,70
Iowa,69
Kansas,59
Kentucky,72
Louisiana,70
Maine,65
Maryland,72
Massachusetts,73
Michigan,66
Minnesota,68
Mississippi,67
Missouri,74
Montana,68
Nebraska,67
Nevada,68
New Hampshire,73
New Jersey,66
New Mexico,74
New York,63
North Carolina,67
North Dakota,100
Ohio,72
Oklahoma,65
Oregon,50
Pennsylvania,69
Rhode Island,75
South Carolina,57
South Dakota,57
Tennessee,63
Texas,59
Utah,65
Vermont,78
Virginia,46
Washington,58
West Virginia,62
Wisconsin,62
Wyoming,76
