date,breakdown,isPartial
2015-01-04,83,False
2015-01-11,82,False
2015-01-18,86,False
2015-01-25,82,False
2015-02-01,86,False
2015-02-08,87,False
2015-02-15,84,False
2015-02-22,91,False
2015-03-01,88,False
2015-03-08,91,False
2015-03-15,97,False
2015-03-22,91,False
2015-03-29,85,False
2015-04-05,93,False
2015-04-12,98,False
2015-04-19,86,False
2015-04-26,100,False
2015-05-03,92,False
2015-05-10,93,False
2015-05-17,92,False
2015-05-24,77,False
2015-05-31,80,False
2015-06-07,79,False
2015-06-14,80,False
2015-06-21,85,False
2015-06-28,79,False
2015-07-05,81,False
2015-07-12,88,False
2015-07-19,84,False
2015-07-26,80,False
2015-08-02,76,False
2015-08-09,81,False
2015-08-16,81,False
2015-08-23,84,False
2015-08-30,84,False
2015-09-06,87,False
2015-09-13,89,False
2015-09-20,86,False
2015-09-27,89,False
2015-10-04,94,False
2015-10-11,89,False
2015-10-18,99,False
2015-10-25,90,False
2015-11-01,95,False
2015-11-08,90,False
2015-11-15,95,False
2015-11-22,77,False
2015-11-29,87,False
2015-12-06,93,False
2015-12-13,82,False
2015-12-20,67,False
2015-12-27,68,False
