geoName,broken
Alabama,11
Alaska,11
Arizona,10
Arkansas,14
California,10
Colorado,11
Connecticut,9
Delaware,9
District of Columbia,9
Florida,9
Georgia,10
Hawaii,10
Idaho,11
Illinois,10
Indiana,11
Iowa,11
Kansas,11
Kentucky,11
Louisiana,12
Maine,10
Maryland,9
Massachusetts,10
Michigan,10
Minnesota,9
Mississippi,11
Missouri,12
Montana,10
Nebraska,16
Nevada,10
New Hampshire,10
New Jersey,9
New Mexico,11
New York,9
North Carolina,10
North Dakota,10
Ohio,10
Oklahoma,100
Oregon,10
Pennsylvania,10
Rhode Island,10
South Carolina,11
South Dakota,11
Tennessee,11
Texas,12
Utah,11
Vermont,10
Virginia,10
Washington,10
West Virginia,11
Wisconsin,10
Wyoming,11
