geoName,burger
Alabama,67
Alaska,64
Arizona,82
Arkansas,68
California,84
Colorado,77
Connecticut,67
Delaware,54
District of Columbia,77
Florida,69
Georgia,79
Hawaii,74
Idaho,51
Illinois,69
Indiana,68
Iowa,70
Kansas,57
Kentucky,60
Louisiana,76
Maine,49
Maryland,61
Massachusetts,66
Michigan,73
Minnesota,62
Mississippi,74
Missouri,58
Montana,52
Nebraska,72
Nevada,100
New Hampshire,50
New Jersey,69
New Mexico,66
New York,84
North Carolina,66
North Dakota,52
Ohio,64
Oklahoma,57
Oregon,72
Pennsylvania,57
Rhode Island,75
South Carolina,61
South Dakota,60
Tennessee,76
Texas,81
Utah,84
Vermont,46
Virginia,64
Washington,67
West Virginia,52
Wisconsin,62
Wyoming,56
