date,burger,isPartial
2012-01-01,72,False
2012-01-08,73,False
2012-01-15,78,False
2012-01-22,71,False
2012-01-29,74,False
2012-02-05,68,False
2012-02-12,72,False
2012-02-19,77,False
2012-02-26,76,False
2012-03-04,75,False
2012-03-11,77,False
2012-03-18,78,False
2012-03-25,73,False
2012-04-01,100,False
2012-04-08,82,False
2012-04-15,81,False
2012-04-22,82,False
2012-04-29,83,False
2012-05-06,82,False
2012-05-13,83,False
2012-05-20,83,False
2012-05-27,90,False
2012-06-03,78,False
2012-06-10,90,False
2012-06-17,95,False
2012-06-24,93,False
2012-07-01,99,False
2012-07-08,84,False
2012-07-15,90,False
2012-07-22,84,False
2012-07-29,82,False
2012-08-05,78,False
2012-08-12,78,False
2012-08-19,82,False
2012-08-26,82,False
2012-09-02,79,False
2012-09-09,73,False
2012-09-16,75,False
2012-09-23,74,False
2012-09-30,71,False
2012-10-07,67,False
2012-10-14,68,False
2012-10-21,71,False
2012-10-28,70,False
2012-11-04,66,False
2012-11-11,68,False
2012-11-18,61,False
2012-11-25,65,False
2012-12-02,73,False
2012-12-09,68,False
2012-12-16,67,False
2012-12-23,70,False
2012-12-30,77,False
