geoName,caregiver
Alabama,12
Alaska,16
Arizona,32
Arkansas,16
California,22
Colorado,16
Connecticut,14
Delaware,22
District of Columbia,12
Florida,15
Georgia,15
Hawaii,24
Idaho,17
Illinois,18
Indiana,13
Iowa,11
Kansas,11
Kentucky,14
Louisiana,13
Maine,20
Maryland,14
Massachusetts,16
Michigan,20
Minnesota,12
Mississippi,13
Missouri,11
Montana,11
Nebraska,8
Nevada,23
New Hampshire,11
New Jersey,12
New Mexico,20
New York,10
North Carolina,15
North Dakota,12
Ohio,13
Oklahoma,9
Oregon,22
Pennsylvania,14
Rhode Island,21
South Carolina,15
South Dakota,13
Tennessee,16
Texas,14
Utah,11
Vermont,14
Virginia,9
Washington,19
West Virginia,13
Wisconsin,100
Wyoming,4
