date,catatonic,isPartial
2015-01-04,56,False
2015-01-11,56,False
2015-01-18,53,False
2015-01-25,51,False
2015-02-01,54,False
2015-02-08,40,False
2015-02-15,49,False
2015-02-22,58,False
2015-03-01,61,False
2015-03-08,65,False
2015-03-15,86,False
2015-03-22,92,False
2015-03-29,61,False
2015-04-05,69,False
2015-04-12,81,False
2015-04-19,91,False
2015-04-26,69,False
2015-05-03,67,False
2015-05-10,72,False
2015-05-17,76,False
2015-05-24,69,False
2015-05-31,70,False
2015-06-07,66,False
2015-06-14,72,False
2015-06-21,65,False
2015-06-28,100,False
2015-07-05,74,False
2015-07-12,57,False
2015-07-19,51,False
2015-07-26,60,False
2015-08-02,53,False
2015-08-09,61,False
2015-08-16,56,False
2015-08-23,68,False
2015-08-30,64,False
2015-09-06,59,False
2015-09-13,48,False
2015-09-20,56,False
2015-09-27,66,False
2015-10-04,69,False
2015-10-11,51,False
2015-10-18,58,False
2015-10-25,51,False
2015-11-01,68,False
2015-11-08,66,False
2015-11-15,79,False
2015-11-22,48,False
2015-11-29,60,False
2015-12-06,87,False
2015-12-13,66,False
2015-12-20,37,False
2015-12-27,46,False
