geoName,child
Alabama,86
Alaska,85
Arizona,78
Arkansas,90
California,66
Colorado,69
Connecticut,67
Delaware,74
District of Columbia,81
Florida,81
Georgia,96
Hawaii,62
Idaho,86
Illinois,77
Indiana,84
Iowa,91
Kansas,69
Kentucky,89
Louisiana,86
Maine,71
Maryland,91
Massachusetts,70
Michigan,78
Minnesota,88
Mississippi,88
Missouri,100
Montana,82
Nebraska,86
Nevada,64
New Hampshire,70
New Jersey,77
New Mexico,69
New York,73
North Carolina,95
North Dakota,88
Ohio,89
Oklahoma,82
Oregon,65
Pennsylvania,84
Rhode Island,74
South Carolina,95
South Dakota,90
Tennessee,99
Texas,89
Utah,69
Vermont,77
Virginia,67
Washington,72
West Virginia,90
Wisconsin,88
Wyoming,76
