geoName,clinical
Alabama,60
Alaska,33
Arizona,54
Arkansas,53
California,59
Colorado,54
Connecticut,99
Delaware,94
District of Columbia,74
Florida,53
Georgia,47
Hawaii,73
Idaho,49
Illinois,61
Indiana,70
Iowa,50
Kansas,51
Kentucky,57
Louisiana,52
Maine,61
Maryland,100
Massachusetts,100
Michigan,68
Minnesota,61
Mississippi,39
Missouri,60
Montana,65
Nebraska,63
Nevada,46
New Hampshire,55
New Jersey,81
New Mexico,60
New York,65
North Carolina,81
North Dakota,57
Ohio,65
Oklahoma,45
Oregon,38
Pennsylvania,84
Rhode Island,96
South Carolina,63
South Dakota,69
Tennessee,62
Texas,55
Utah,55
Vermont,69
Virginia,62
Washington,49
West Virginia,67
Wisconsin,63
Wyoming,49
