date,confusion,isPartial
2015-01-04,67,False
2015-01-11,75,False
2015-01-18,76,False
2015-01-25,83,False
2015-02-01,78,False
2015-02-08,82,False
2015-02-15,85,False
2015-02-22,92,False
2015-03-01,84,False
2015-03-08,78,False
2015-03-15,77,False
2015-03-22,72,False
2015-03-29,87,False
2015-04-05,79,False
2015-04-12,91,False
2015-04-19,92,False
2015-04-26,100,False
2015-05-03,83,False
2015-05-10,69,False
2015-05-17,96,False
2015-05-24,74,False
2015-05-31,82,False
2015-06-07,78,False
2015-06-14,67,False
2015-06-21,76,False
2015-06-28,73,False
2015-07-05,70,False
2015-07-12,79,False
2015-07-19,83,False
2015-07-26,71,False
2015-08-02,78,False
2015-08-09,74,False
2015-08-16,70,False
2015-08-23,74,False
2015-08-30,91,False
2015-09-06,76,False
2015-09-13,81,False
2015-09-20,81,False
2015-09-27,80,False
2015-10-04,80,False
2015-10-11,84,False
2015-10-18,80,False
2015-10-25,91,False
2015-11-01,88,False
2015-11-08,80,False
2015-11-15,86,False
2015-11-22,71,False
2015-11-29,83,False
2015-12-06,85,False
2015-12-13,93,False
2015-12-20,59,False
2015-12-27,78,False
