geoName,consumed
Alabama,68
Alaska,89
Arizona,59
Arkansas,70
California,59
Colorado,61
Connecticut,63
Delaware,33
District of Columbia,45
Florida,64
Georgia,62
Hawaii,78
Idaho,92
Illinois,54
Indiana,65
Iowa,98
Kansas,77
Kentucky,60
Louisiana,56
Maine,44
Maryland,56
Massachusetts,54
Michigan,60
Minnesota,61
Mississippi,58
Missouri,53
Montana,51
Nebraska,58
Nevada,55
New Hampshire,73
New Jersey,57
New Mexico,77
New York,49
North Carolina,66
North Dakota,86
Ohio,62
Oklahoma,76
Oregon,63
Pennsylvania,60
Rhode Island,39
South Carolina,48
South Dakota,100
Tennessee,51
Texas,54
Utah,67
Vermont,77
Virginia,61
Washington,53
West Virginia,94
Wisconsin,69
Wyoming,99
