date,consumed,isPartial
2013-01-06,61,False
2013-01-13,65,False
2013-01-20,84,False
2013-01-27,100,False
2013-02-03,92,False
2013-02-10,68,False
2013-02-17,83,False
2013-02-24,88,False
2013-03-03,68,False
2013-03-10,84,False
2013-03-17,78,False
2013-03-24,70,False
2013-03-31,71,False
2013-04-07,71,False
2013-04-14,65,False
2013-04-21,81,False
2013-04-28,71,False
2013-05-05,63,False
2013-05-12,60,False
2013-05-19,53,False
2013-05-26,51,False
2013-06-02,60,False
2013-06-09,49,False
2013-06-16,64,False
2013-06-23,44,False
2013-06-30,58,False
2013-07-07,54,False
2013-07-14,54,False
2013-07-21,53,False
2013-07-28,49,False
2013-08-04,33,False
2013-08-11,54,False
2013-08-18,48,False
2013-08-25,43,False
2013-09-01,63,False
2013-09-08,63,False
2013-09-15,79,False
2013-09-22,71,False
2013-09-29,80,False
2013-10-06,72,False
2013-10-13,89,False
2013-10-20,81,False
2013-10-27,92,False
2013-11-03,92,False
2013-11-10,77,False
2013-11-17,91,False
2013-11-24,76,False
2013-12-01,80,False
2013-12-08,80,False
2013-12-15,62,False
2013-12-22,30,False
2013-12-29,56,False
