geoName,counsel
Alabama,23
Alaska,24
Arizona,25
Arkansas,24
California,35
Colorado,29
Connecticut,43
Delaware,44
District of Columbia,100
Florida,30
Georgia,25
Hawaii,34
Idaho,27
Illinois,33
Indiana,27
Iowa,22
Kansas,20
Kentucky,27
Louisiana,30
Maine,20
Maryland,77
Massachusetts,43
Michigan,25
Minnesota,28
Mississippi,25
Missouri,32
Montana,21
Nebraska,29
Nevada,25
New Hampshire,21
New Jersey,40
New Mexico,22
New York,47
North Carolina,23
North Dakota,21
Ohio,33
Oklahoma,21
Oregon,20
Pennsylvania,36
Rhode Island,30
South Carolina,23
South Dakota,22
Tennessee,24
Texas,23
Utah,30
Vermont,24
Virginia,29
Washington,27
West Virginia,27
Wisconsin,31
Wyoming,13
