geoName,courage
Alabama,59
Alaska,55
Arizona,50
Arkansas,42
California,45
Colorado,53
Connecticut,46
Delaware,38
District of Columbia,39
Florida,44
Georgia,45
Hawaii,53
Idaho,51
Illinois,46
Indiana,51
Iowa,63
Kansas,50
Kentucky,59
Louisiana,52
Maine,56
Maryland,49
Massachusetts,44
Michigan,48
Minnesota,100
Mississippi,51
Missouri,54
Montana,62
Nebraska,72
Nevada,44
New Hampshire,45
New Jersey,51
New Mexico,56
New York,44
North Carolina,49
North Dakota,52
Ohio,53
Oklahoma,55
Oregon,51
Pennsylvania,51
Rhode Island,48
South Carolina,52
South Dakota,66
Tennessee,46
Texas,46
Utah,57
Vermont,46
Virginia,54
Washington,52
West Virginia,54
Wisconsin,51
Wyoming,68
