date,courage,isPartial
2016-01-03,94,False
2016-01-10,94,False
2016-01-17,91,False
2016-01-24,93,False
2016-01-31,100,False
2016-02-07,95,False
2016-02-14,86,False
2016-02-21,97,False
2016-02-28,96,False
2016-03-06,95,False
2016-03-13,93,False
2016-03-20,91,False
2016-03-27,93,False
2016-04-03,86,False
2016-04-10,98,False
2016-04-17,96,False
2016-04-24,92,False
2016-05-01,96,False
2016-05-08,98,False
2016-05-15,97,False
2016-05-22,89,False
2016-05-29,84,False
2016-06-05,81,False
2016-06-12,71,False
2016-06-19,72,False
2016-06-26,71,False
2016-07-03,71,False
2016-07-10,74,False
2016-07-17,69,False
2016-07-24,74,False
2016-07-31,68,False
2016-08-07,72,False
2016-08-14,73,False
2016-08-21,78,False
2016-08-28,82,False
2016-09-04,91,False
2016-09-11,84,False
2016-09-18,87,False
2016-09-25,86,False
2016-10-02,86,False
2016-10-09,80,False
2016-10-16,84,False
2016-10-23,91,False
2016-10-30,89,False
2016-11-06,86,False
2016-11-13,93,False
2016-11-20,76,False
2016-11-27,89,False
2016-12-04,92,False
2016-12-11,85,False
2016-12-18,67,False
2016-12-25,55,False
