geoName,crisis
Alabama,59
Alaska,71
Arizona,72
Arkansas,62
California,60
Colorado,65
Connecticut,77
Delaware,69
District of Columbia,100
Florida,57
Georgia,59
Hawaii,58
Idaho,71
Illinois,61
Indiana,72
Iowa,71
Kansas,64
Kentucky,61
Louisiana,56
Maine,88
Maryland,71
Massachusetts,73
Michigan,62
Minnesota,65
Mississippi,56
Missouri,66
Montana,63
Nebraska,67
Nevada,55
New Hampshire,62
New Jersey,64
New Mexico,67
New York,65
North Carolina,77
North Dakota,60
Ohio,64
Oklahoma,66
Oregon,61
Pennsylvania,73
Rhode Island,57
South Carolina,67
South Dakota,62
Tennessee,60
Texas,59
Utah,59
Vermont,76
Virginia,69
Washington,66
West Virginia,68
Wisconsin,63
Wyoming,73
