geoName,cruel
Alabama,50
Alaska,51
Arizona,56
Arkansas,65
California,62
Colorado,53
Connecticut,63
Delaware,48
District of Columbia,52
Florida,53
Georgia,52
Hawaii,53
Idaho,66
Illinois,54
Indiana,58
Iowa,56
Kansas,53
Kentucky,55
Louisiana,57
Maine,72
Maryland,57
Massachusetts,58
Michigan,56
Minnesota,46
Mississippi,39
Missouri,51
Montana,69
Nebraska,63
Nevada,55
New Hampshire,52
New Jersey,59
New Mexico,68
New York,64
North Carolina,54
North Dakota,69
Ohio,54
Oklahoma,58
Oregon,51
Pennsylvania,58
Rhode Island,69
South Carolina,53
South Dakota,44
Tennessee,50
Texas,59
Utah,46
Vermont,52
Virginia,60
Washington,58
West Virginia,60
Wisconsin,54
Wyoming,100
