geoName,crushed
Alabama,50
Alaska,49
Arizona,44
Arkansas,42
California,42
Colorado,56
Connecticut,53
Delaware,50
District of Columbia,46
Florida,41
Georgia,44
Hawaii,42
Idaho,53
Illinois,49
Indiana,56
Iowa,44
Kansas,43
Kentucky,57
Louisiana,55
Maine,81
Maryland,46
Massachusetts,56
Michigan,62
Minnesota,51
Mississippi,52
Missouri,100
Montana,45
Nebraska,51
Nevada,39
New Hampshire,73
New Jersey,45
New Mexico,48
New York,46
North Carolina,46
North Dakota,47
Ohio,51
Oklahoma,44
Oregon,42
Pennsylvania,55
Rhode Island,64
South Carolina,47
South Dakota,55
Tennessee,48
Texas,51
Utah,43
Vermont,81
Virginia,51
Washington,50
West Virginia,69
Wisconsin,49
Wyoming,40
