geoName,crying
Alabama,84
Alaska,82
Arizona,80
Arkansas,69
California,80
Colorado,73
Connecticut,85
Delaware,78
District of Columbia,74
Florida,80
Georgia,84
Hawaii,87
Idaho,70
Illinois,81
Indiana,81
Iowa,74
Kansas,78
Kentucky,85
Louisiana,92
Maine,80
Maryland,84
Massachusetts,81
Michigan,78
Minnesota,72
Mississippi,86
Missouri,79
Montana,77
Nebraska,77
Nevada,81
New Hampshire,84
New Jersey,87
New Mexico,74
New York,85
North Carolina,80
North Dakota,63
Ohio,81
Oklahoma,77
Oregon,74
Pennsylvania,81
Rhode Island,88
South Carolina,79
South Dakota,82
Tennessee,84
Texas,83
Utah,75
Vermont,77
Virginia,81
Washington,75
West Virginia,100
Wisconsin,75
Wyoming,54
