geoName,death
Alabama,92
Alaska,87
Arizona,92
Arkansas,95
California,87
Colorado,86
Connecticut,85
Delaware,91
District of Columbia,80
Florida,86
Georgia,86
Hawaii,82
Idaho,95
Illinois,87
Indiana,95
Iowa,89
Kansas,84
Kentucky,92
Louisiana,89
Maine,93
Maryland,87
Massachusetts,91
Michigan,94
Minnesota,85
Mississippi,90
Missouri,98
Montana,88
Nebraska,88
Nevada,100
New Hampshire,92
New Jersey,88
New Mexico,98
New York,81
North Carolina,89
North Dakota,87
Ohio,95
Oklahoma,100
Oregon,59
Pennsylvania,90
Rhode Island,96
South Carolina,93
South Dakota,82
Tennessee,91
Texas,87
Utah,89
Vermont,94
Virginia,67
Washington,89
West Virginia,93
Wisconsin,85
Wyoming,95
