date,debilitating,isPartial
2012-01-01,58,False
2012-01-08,84,False
2012-01-15,86,False
2012-01-22,64,False
2012-01-29,71,False
2012-02-05,51,False
2012-02-12,68,False
2012-02-19,64,False
2012-02-26,60,False
2012-03-04,63,False
2012-03-11,52,False
2012-03-18,62,False
2012-03-25,67,False
2012-04-01,79,False
2012-04-08,59,False
2012-04-15,92,False
2012-04-22,61,False
2012-04-29,96,False
2012-05-06,69,False
2012-05-13,52,False
2012-05-20,44,False
2012-05-27,73,False
2012-06-03,42,False
2012-06-10,66,False
2012-06-17,61,False
2012-06-24,73,False
2012-07-01,52,False
2012-07-08,62,False
2012-07-15,51,False
2012-07-22,69,False
2012-07-29,49,False
2012-08-05,86,False
2012-08-12,43,False
2012-08-19,63,False
2012-08-26,58,False
2012-09-02,60,False
2012-09-09,63,False
2012-09-16,73,False
2012-09-23,96,False
2012-09-30,100,False
2012-10-07,89,False
2012-10-14,69,False
2012-10-21,80,False
2012-10-28,68,False
2012-11-04,91,False
2012-11-11,78,False
2012-11-18,54,False
2012-11-25,68,False
2012-12-02,96,False
2012-12-09,85,False
2012-12-16,46,False
2012-12-23,23,False
2012-12-30,52,False
