geoName,defeated
Alabama,72
Alaska,22
Arizona,51
Arkansas,79
California,44
Colorado,48
Connecticut,45
Delaware,21
District of Columbia,38
Florida,57
Georgia,43
Hawaii,41
Idaho,86
Illinois,45
Indiana,72
Iowa,68
Kansas,61
Kentucky,75
Louisiana,50
Maine,65
Maryland,43
Massachusetts,34
Michigan,45
Minnesota,49
Mississippi,60
Missouri,58
Montana,51
Nebraska,44
Nevada,30
New Hampshire,55
New Jersey,53
New Mexico,27
New York,48
North Carolina,52
North Dakota,73
Ohio,48
Oklahoma,57
Oregon,45
Pennsylvania,52
Rhode Island,42
South Carolina,78
South Dakota,64
Tennessee,100
Texas,51
Utah,22
Vermont,72
Virginia,62
Washington,43
West Virginia,79
Wisconsin,43
Wyoming,44
