date,defeated,isPartial
2011-01-02,87,False
2011-01-09,76,False
2011-01-16,66,False
2011-01-23,76,False
2011-01-30,75,False
2011-02-06,76,False
2011-02-13,78,False
2011-02-20,85,False
2011-02-27,87,False
2011-03-06,79,False
2011-03-13,92,False
2011-03-20,85,False
2011-03-27,79,False
2011-04-03,96,False
2011-04-10,68,False
2011-04-17,72,False
2011-04-24,78,False
2011-05-01,94,False
2011-05-08,69,False
2011-05-15,84,False
2011-05-22,64,False
2011-05-29,66,False
2011-06-05,66,False
2011-06-12,61,False
2011-06-19,46,False
2011-06-26,54,False
2011-07-03,43,False
2011-07-10,63,False
2011-07-17,61,False
2011-07-24,42,False
2011-07-31,55,False
2011-08-07,64,False
2011-08-14,46,False
2011-08-21,53,False
2011-08-28,72,False
2011-09-04,70,False
2011-09-11,65,False
2011-09-18,73,False
2011-09-25,78,False
2011-10-02,74,False
2011-10-09,76,False
2011-10-16,76,False
2011-10-23,71,False
2011-10-30,69,False
2011-11-06,76,False
2011-11-13,100,False
2011-11-20,77,False
2011-11-27,62,False
2011-12-04,91,False
2011-12-11,100,False
2011-12-18,48,False
2011-12-25,40,False
