date,dejected,isPartial
2013-01-06,79,False
2013-01-13,46,False
2013-01-20,46,False
2013-01-27,49,False
2013-02-03,59,False
2013-02-10,61,False
2013-02-17,61,False
2013-02-24,49,False
2013-03-03,56,False
2013-03-10,65,False
2013-03-17,45,False
2013-03-24,28,False
2013-03-31,73,False
2013-04-07,59,False
2013-04-14,56,False
2013-04-21,55,False
2013-04-28,59,False
2013-05-05,64,False
2013-05-12,64,False
2013-05-19,58,False
2013-05-26,39,False
2013-06-02,63,False
2013-06-09,29,False
2013-06-16,38,False
2013-06-23,41,False
2013-06-30,35,False
2013-07-07,23,False
2013-07-14,51,False
2013-07-21,26,False
2013-07-28,30,False
2013-08-04,42,False
2013-08-11,35,False
2013-08-18,46,False
2013-08-25,38,False
2013-09-01,53,False
2013-09-08,40,False
2013-09-15,73,False
2013-09-22,59,False
2013-09-29,53,False
2013-10-06,88,False
2013-10-13,61,False
2013-10-20,74,False
2013-10-27,74,False
2013-11-03,78,False
2013-11-10,60,False
2013-11-17,100,False
2013-11-24,56,False
2013-12-01,42,False
2013-12-08,59,False
2013-12-15,50,False
2013-12-22,46,False
2013-12-29,35,False
