date,demoralized,isPartial
2016-01-03,47,False
2016-01-10,35,False
2016-01-17,41,False
2016-01-24,46,False
2016-01-31,100,False
2016-02-07,50,False
2016-02-14,50,False
2016-02-21,59,False
2016-02-28,39,False
2016-03-06,49,False
2016-03-13,40,False
2016-03-20,47,False
2016-03-27,66,False
2016-04-03,50,False
2016-04-10,71,False
2016-04-17,35,False
2016-04-24,50,False
2016-05-01,45,False
2016-05-08,61,False
2016-05-15,31,False
2016-05-22,47,False
2016-05-29,48,False
2016-06-05,52,False
2016-06-12,37,False
2016-06-19,32,False
2016-06-26,21,False
2016-07-03,22,False
2016-07-10,38,False
2016-07-17,38,False
2016-07-24,27,False
2016-07-31,32,False
2016-08-07,28,False
2016-08-14,29,False
2016-08-21,71,False
2016-08-28,41,False
2016-09-04,52,False
2016-09-11,61,False
2016-09-18,79,False
2016-09-25,76,False
2016-10-02,65,False
2016-10-09,41,False
2016-10-16,41,False
2016-10-23,76,False
2016-10-30,55,False
2016-11-06,98,False
2016-11-13,30,False
2016-11-20,31,False
2016-11-27,88,False
2016-12-04,55,False
2016-12-11,85,False
2016-12-18,31,False
2016-12-25,16,False
