geoName,depressed
Alabama,61
Alaska,73
Arizona,77
Arkansas,72
California,82
Colorado,73
Connecticut,86
Delaware,89
District of Columbia,68
Florida,72
Georgia,69
Hawaii,83
Idaho,61
Illinois,76
Indiana,72
Iowa,75
Kansas,81
Kentucky,79
Louisiana,80
Maine,80
Maryland,78
Massachusetts,84
Michigan,76
Minnesota,70
Mississippi,61
Missouri,79
Montana,77
Nebraska,80
Nevada,75
New Hampshire,96
New Jersey,80
New Mexico,64
New York,80
North Carolina,72
North Dakota,77
Ohio,80
Oklahoma,76
Oregon,48
Pennsylvania,83
Rhode Island,97
South Carolina,71
South Dakota,75
Tennessee,72
Texas,73
Utah,79
Vermont,69
Virginia,74
Washington,83
West Virginia,100
Wisconsin,76
Wyoming,66
