geoName,depression
Alabama,83
Alaska,78
Arizona,79
Arkansas,92
California,71
Colorado,74
Connecticut,79
Delaware,92
District of Columbia,59
Florida,65
Georgia,70
Hawaii,68
Idaho,99
Illinois,80
Indiana,92
Iowa,92
Kansas,75
Kentucky,82
Louisiana,72
Maine,91
Maryland,76
Massachusetts,82
Michigan,84
Minnesota,84
Mississippi,81
Missouri,78
Montana,86
Nebraska,79
Nevada,69
New Hampshire,90
New Jersey,77
New Mexico,83
New York,74
North Carolina,80
North Dakota,87
Ohio,89
Oklahoma,74
Oregon,50
Pennsylvania,88
Rhode Island,84
South Carolina,84
South Dakota,87
Tennessee,76
Texas,70
Utah,93
Vermont,97
Virginia,59
Washington,75
West Virginia,99
Wisconsin,82
Wyoming,100
