date,desolate,isPartial
2016-01-03,61,False
2016-01-10,86,False
2016-01-17,87,False
2016-01-24,74,False
2016-01-31,78,False
2016-02-07,80,False
2016-02-14,72,False
2016-02-21,81,False
2016-02-28,65,False
2016-03-06,80,False
2016-03-13,77,False
2016-03-20,60,False
2016-03-27,71,False
2016-04-03,65,False
2016-04-10,93,False
2016-04-17,100,False
2016-04-24,90,False
2016-05-01,80,False
2016-05-08,90,False
2016-05-15,92,False
2016-05-22,60,False
2016-05-29,70,False
2016-06-05,60,False
2016-06-12,52,False
2016-06-19,57,False
2016-06-26,60,False
2016-07-03,45,False
2016-07-10,49,False
2016-07-17,45,False
2016-07-24,42,False
2016-07-31,54,False
2016-08-07,69,False
2016-08-14,67,False
2016-08-21,63,False
2016-08-28,85,False
2016-09-04,78,False
2016-09-11,65,False
2016-09-18,74,False
2016-09-25,89,False
2016-10-02,87,False
2016-10-09,87,False
2016-10-16,98,False
2016-10-23,74,False
2016-10-30,61,False
2016-11-06,81,False
2016-11-13,76,False
2016-11-20,52,False
2016-11-27,84,False
2016-12-04,76,False
2016-12-11,60,False
2016-12-18,47,False
2016-12-25,42,False
