geoName,despair
Alabama,79
Alaska,61
Arizona,92
Arkansas,100
California,83
Colorado,68
Connecticut,81
Delaware,66
District of Columbia,69
Florida,70
Georgia,67
Hawaii,87
Idaho,79
Illinois,74
Indiana,73
Iowa,67
Kansas,66
Kentucky,70
Louisiana,77
Maine,88
Maryland,83
Massachusetts,82
Michigan,71
Minnesota,63
Mississippi,73
Missouri,64
Montana,75
Nebraska,69
Nevada,96
New Hampshire,70
New Jersey,72
New Mexico,85
New York,79
North Carolina,74
North Dakota,46
Ohio,73
Oklahoma,57
Oregon,71
Pennsylvania,78
Rhode Island,92
South Carolina,74
South Dakota,95
Tennessee,73
Texas,69
Utah,70
Vermont,91
Virginia,82
Washington,77
West Virginia,73
Wisconsin,74
Wyoming,88
