geoName,desperate
Alabama,73
Alaska,94
Arizona,68
Arkansas,59
California,84
Colorado,65
Connecticut,84
Delaware,97
District of Columbia,64
Florida,73
Georgia,66
Hawaii,69
Idaho,79
Illinois,74
Indiana,75
Iowa,79
Kansas,65
Kentucky,78
Louisiana,91
Maine,95
Maryland,77
Massachusetts,74
Michigan,80
Minnesota,78
Mississippi,73
Missouri,78
Montana,64
Nebraska,71
Nevada,79
New Hampshire,75
New Jersey,76
New Mexico,84
New York,79
North Carolina,71
North Dakota,76
Ohio,79
Oklahoma,69
Oregon,58
Pennsylvania,73
Rhode Island,87
South Carolina,81
South Dakota,91
Tennessee,71
Texas,74
Utah,72
Vermont,74
Virginia,74
Washington,83
West Virginia,96
Wisconsin,74
Wyoming,100
