geoName,despondent
Alabama,58
Alaska,46
Arizona,61
Arkansas,66
California,68
Colorado,48
Connecticut,82
Delaware,91
District of Columbia,50
Florida,75
Georgia,55
Hawaii,70
Idaho,78
Illinois,61
Indiana,60
Iowa,61
Kansas,48
Kentucky,69
Louisiana,58
Maine,59
Maryland,73
Massachusetts,66
Michigan,64
Minnesota,44
Mississippi,100
Missouri,58
Montana,51
Nebraska,92
Nevada,54
New Hampshire,53
New Jersey,83
New Mexico,99
New York,63
North Carolina,65
North Dakota,49
Ohio,54
Oklahoma,67
Oregon,33
Pennsylvania,64
Rhode Island,9
South Carolina,41
South Dakota,83
Tennessee,33
Texas,63
Utah,60
Vermont,33
Virginia,32
Washington,47
West Virginia,73
Wisconsin,52
Wyoming,0
