geoName,detriment
Alabama,43
Alaska,0
Arizona,71
Arkansas,79
California,75
Colorado,64
Connecticut,32
Delaware,0
District of Columbia,90
Florida,86
Georgia,72
Hawaii,50
Idaho,77
Illinois,57
Indiana,57
Iowa,53
Kansas,32
Kentucky,71
Louisiana,66
Maine,80
Maryland,55
Massachusetts,68
Michigan,80
Minnesota,77
Mississippi,81
Missouri,53
Montana,0
Nebraska,73
Nevada,74
New Hampshire,100
New Jersey,61
New Mexico,56
New York,80
North Carolina,86
North Dakota,0
Ohio,70
Oklahoma,42
Oregon,58
Pennsylvania,64
Rhode Island,52
South Carolina,39
South Dakota,94
Tennessee,61
Texas,61
Utah,50
Vermont,0
Virginia,62
Washington,65
West Virginia,50
Wisconsin,67
Wyoming,0
