geoName,die
Alabama,88
Alaska,79
Arizona,84
Arkansas,92
California,72
Colorado,81
Connecticut,75
Delaware,79
District of Columbia,66
Florida,72
Georgia,80
Hawaii,71
Idaho,90
Illinois,79
Indiana,95
Iowa,90
Kansas,84
Kentucky,93
Louisiana,80
Maine,84
Maryland,72
Massachusetts,74
Michigan,88
Minnesota,80
Mississippi,91
Missouri,85
Montana,88
Nebraska,83
Nevada,80
New Hampshire,86
New Jersey,74
New Mexico,85
New York,66
North Carolina,78
North Dakota,84
Ohio,91
Oklahoma,90
Oregon,74
Pennsylvania,78
Rhode Island,84
South Carolina,83
South Dakota,91
Tennessee,87
Texas,75
Utah,84
Vermont,84
Virginia,76
Washington,75
West Virginia,100
Wisconsin,90
Wyoming,91
