geoName,diet
Alabama,93
Alaska,94
Arizona,82
Arkansas,100
California,71
Colorado,80
Connecticut,72
Delaware,79
District of Columbia,65
Florida,82
Georgia,77
Hawaii,72
Idaho,88
Illinois,69
Indiana,77
Iowa,78
Kansas,79
Kentucky,84
Louisiana,93
Maine,77
Maryland,66
Massachusetts,66
Michigan,72
Minnesota,69
Mississippi,90
Missouri,83
Montana,92
Nebraska,83
Nevada,86
New Hampshire,75
New Jersey,73
New Mexico,77
New York,65
North Carolina,79
North Dakota,81
Ohio,77
Oklahoma,87
Oregon,80
Pennsylvania,71
Rhode Island,73
South Carolina,85
South Dakota,86
Tennessee,88
Texas,74
Utah,81
Vermont,68
Virginia,71
Washington,83
West Virginia,87
Wisconsin,70
Wyoming,93
