date,diet,isPartial
2012-01-01,100,False
2012-01-08,87,False
2012-01-15,79,False
2012-01-22,74,False
2012-01-29,75,False
2012-02-05,76,False
2012-02-12,68,False
2012-02-19,79,False
2012-02-26,77,False
2012-03-04,76,False
2012-03-11,71,False
2012-03-18,74,False
2012-03-25,70,False
2012-04-01,70,False
2012-04-08,72,False
2012-04-15,77,False
2012-04-22,71,False
2012-04-29,71,False
2012-05-06,70,False
2012-05-13,68,False
2012-05-20,68,False
2012-05-27,69,False
2012-06-03,73,False
2012-06-10,69,False
2012-06-17,70,False
2012-06-24,70,False
2012-07-01,67,False
2012-07-08,69,False
2012-07-15,69,False
2012-07-22,68,False
2012-07-29,71,False
2012-08-05,65,False
2012-08-12,66,False
2012-08-19,62,False
2012-08-26,61,False
2012-09-02,61,False
2012-09-09,60,False
2012-09-16,62,False
2012-09-23,60,False
2012-09-30,60,False
2012-10-07,56,False
2012-10-14,57,False
2012-10-21,55,False
2012-10-28,52,False
2012-11-04,54,False
2012-11-11,54,False
2012-11-18,45,False
2012-11-25,57,False
2012-12-02,57,False
2012-12-09,50,False
2012-12-16,44,False
2012-12-23,51,False
2012-12-30,84,False
