date,discontented,isPartial
2016-01-03,32,False
2016-01-10,31,False
2016-01-17,24,False
2016-01-24,55,False
2016-01-31,54,False
2016-02-07,31,False
2016-02-14,31,False
2016-02-21,31,False
2016-02-28,68,False
2016-03-06,38,False
2016-03-13,62,False
2016-03-20,88,False
2016-03-27,86,False
2016-04-03,23,False
2016-04-10,63,False
2016-04-17,62,False
2016-04-24,23,False
2016-05-01,15,False
2016-05-08,47,False
2016-05-15,48,False
2016-05-22,33,False
2016-05-29,50,False
2016-06-05,40,False
2016-06-12,8,False
2016-06-19,17,False
2016-06-26,25,False
2016-07-03,26,False
2016-07-10,25,False
2016-07-17,0,False
2016-07-24,33,False
2016-07-31,0,False
2016-08-07,17,False
2016-08-14,53,False
2016-08-21,51,False
2016-08-28,48,False
2016-09-04,57,False
2016-09-11,63,False
2016-09-18,100,False
2016-09-25,31,False
2016-10-02,39,False
2016-10-09,79,False
2016-10-16,63,False
2016-10-23,78,False
2016-10-30,31,False
2016-11-06,36,False
2016-11-13,69,False
2016-11-20,40,False
2016-11-27,79,False
2016-12-04,42,False
2016-12-11,95,False
2016-12-18,32,False
2016-12-25,16,False
