geoName,discrimination
Alabama,74
Alaska,80
Arizona,72
Arkansas,90
California,70
Colorado,65
Connecticut,87
Delaware,70
District of Columbia,79
Florida,63
Georgia,63
Hawaii,71
Idaho,75
Illinois,71
Indiana,100
Iowa,82
Kansas,71
Kentucky,69
Louisiana,64
Maine,73
Maryland,90
Massachusetts,80
Michigan,69
Minnesota,73
Mississippi,76
Missouri,78
Montana,58
Nebraska,85
Nevada,71
New Hampshire,66
New Jersey,73
New Mexico,79
New York,69
North Carolina,79
North Dakota,83
Ohio,78
Oklahoma,60
Oregon,53
Pennsylvania,78
Rhode Island,69
South Carolina,69
South Dakota,71
Tennessee,63
Texas,63
Utah,68
Vermont,91
Virginia,53
Washington,69
West Virginia,79
Wisconsin,74
Wyoming,81
