date,discrimination,isPartial
2016-01-03,51,False
2016-01-10,59,False
2016-01-17,61,False
2016-01-24,72,False
2016-01-31,73,False
2016-02-07,73,False
2016-02-14,72,False
2016-02-21,87,False
2016-02-28,83,False
2016-03-06,75,False
2016-03-13,77,False
2016-03-20,80,False
2016-03-27,87,False
2016-04-03,100,False
2016-04-10,96,False
2016-04-17,94,False
2016-04-24,98,False
2016-05-01,90,False
2016-05-08,90,False
2016-05-15,74,False
2016-05-22,60,False
2016-05-29,52,False
2016-06-05,52,False
2016-06-12,52,False
2016-06-19,49,False
2016-06-26,44,False
2016-07-03,46,False
2016-07-10,43,False
2016-07-17,48,False
2016-07-24,47,False
2016-07-31,41,False
2016-08-07,41,False
2016-08-14,39,False
2016-08-21,46,False
2016-08-28,49,False
2016-09-04,56,False
2016-09-11,62,False
2016-09-18,67,False
2016-09-25,83,False
2016-10-02,71,False
2016-10-09,76,False
2016-10-16,73,False
2016-10-23,80,False
2016-10-30,83,False
2016-11-06,77,False
2016-11-13,90,False
2016-11-20,54,False
2016-11-27,89,False
2016-12-04,93,False
2016-12-11,81,False
2016-12-18,46,False
2016-12-25,26,False
