geoName,dismal
Alabama,50
Alaska,11
Arizona,22
Arkansas,22
California,18
Colorado,16
Connecticut,20
Delaware,37
District of Columbia,62
Florida,23
Georgia,22
Hawaii,19
Idaho,20
Illinois,21
Indiana,21
Iowa,11
Kansas,23
Kentucky,21
Louisiana,28
Maine,20
Maryland,33
Massachusetts,19
Michigan,19
Minnesota,23
Mississippi,55
Missouri,21
Montana,11
Nebraska,79
Nevada,17
New Hampshire,20
New Jersey,26
New Mexico,29
New York,19
North Carolina,46
North Dakota,20
Ohio,19
Oklahoma,23
Oregon,15
Pennsylvania,24
Rhode Island,18
South Carolina,27
South Dakota,27
Tennessee,22
Texas,18
Utah,20
Vermont,12
Virginia,100
Washington,23
West Virginia,33
Wisconsin,11
Wyoming,0
