date,dismal,isPartial
2011-01-02,11,False
2011-01-09,9,False
2011-01-16,13,False
2011-01-23,10,False
2011-01-30,16,False
2011-02-06,11,False
2011-02-13,13,False
2011-02-20,12,False
2011-02-27,14,False
2011-03-06,13,False
2011-03-13,20,False
2011-03-20,16,False
2011-03-27,14,False
2011-04-03,12,False
2011-04-10,18,False
2011-04-17,13,False
2011-04-24,18,False
2011-05-01,13,False
2011-05-08,14,False
2011-05-15,13,False
2011-05-22,13,False
2011-05-29,13,False
2011-06-05,16,False
2011-06-12,12,False
2011-06-19,11,False
2011-06-26,15,False
2011-07-03,14,False
2011-07-10,11,False
2011-07-17,11,False
2011-07-24,11,False
2011-07-31,12,False
2011-08-07,100,False
2011-08-14,81,False
2011-08-21,57,False
2011-08-28,43,False
2011-09-04,21,False
2011-09-11,25,False
2011-09-18,18,False
2011-09-25,15,False
2011-10-02,16,False
2011-10-09,18,False
2011-10-16,15,False
2011-10-23,14,False
2011-10-30,16,False
2011-11-06,14,False
2011-11-13,17,False
2011-11-20,14,False
2011-11-27,11,False
2011-12-04,10,False
2011-12-11,15,False
2011-12-18,11,False
2011-12-25,13,False
