geoName,disorder
Alabama,81
Alaska,81
Arizona,74
Arkansas,86
California,61
Colorado,73
Connecticut,94
Delaware,90
District of Columbia,62
Florida,68
Georgia,64
Hawaii,64
Idaho,84
Illinois,70
Indiana,86
Iowa,85
Kansas,62
Kentucky,85
Louisiana,73
Maine,100
Maryland,85
Massachusetts,86
Michigan,77
Minnesota,88
Mississippi,89
Missouri,82
Montana,87
Nebraska,79
Nevada,64
New Hampshire,93
New Jersey,74
New Mexico,78
New York,74
North Carolina,74
North Dakota,89
Ohio,84
Oklahoma,71
Oregon,58
Pennsylvania,85
Rhode Island,85
South Carolina,69
South Dakota,87
Tennessee,75
Texas,61
Utah,79
Vermont,88
Virginia,50
Washington,70
West Virginia,95
Wisconsin,80
Wyoming,84
