geoName,distracted
Alabama,24
Alaska,57
Arizona,21
Arkansas,30
California,29
Colorado,28
Connecticut,48
Delaware,56
District of Columbia,39
Florida,25
Georgia,26
Hawaii,29
Idaho,35
Illinois,33
Indiana,41
Iowa,48
Kansas,46
Kentucky,45
Louisiana,28
Maine,48
Maryland,35
Massachusetts,36
Michigan,31
Minnesota,40
Mississippi,24
Missouri,28
Montana,66
Nebraska,20
Nevada,20
New Hampshire,20
New Jersey,33
New Mexico,52
New York,27
North Carolina,32
North Dakota,10
Ohio,28
Oklahoma,41
Oregon,25
Pennsylvania,39
Rhode Island,21
South Carolina,38
South Dakota,71
Tennessee,42
Texas,27
Utah,52
Vermont,27
Virginia,43
Washington,34
West Virginia,65
Wisconsin,30
Wyoming,100
