geoName,distraught
Alabama,49
Alaska,0
Arizona,35
Arkansas,63
California,45
Colorado,37
Connecticut,53
Delaware,45
District of Columbia,53
Florida,51
Georgia,44
Hawaii,82
Idaho,18
Illinois,35
Indiana,55
Iowa,23
Kansas,44
Kentucky,43
Louisiana,50
Maine,9
Maryland,37
Massachusetts,35
Michigan,30
Minnesota,42
Mississippi,87
Missouri,24
Montana,0
Nebraska,12
Nevada,23
New Hampshire,16
New Jersey,52
New Mexico,8
New York,43
North Carolina,27
North Dakota,37
Ohio,35
Oklahoma,44
Oregon,28
Pennsylvania,38
Rhode Island,100
South Carolina,45
South Dakota,20
Tennessee,33
Texas,45
Utah,20
Vermont,34
Virginia,49
Washington,28
West Virginia,32
Wisconsin,36
Wyoming,0
