geoName,distressed
Alabama,78
Alaska,45
Arizona,40
Arkansas,84
California,44
Colorado,44
Connecticut,55
Delaware,48
District of Columbia,44
Florida,40
Georgia,48
Hawaii,36
Idaho,43
Illinois,42
Indiana,48
Iowa,40
Kansas,46
Kentucky,51
Louisiana,68
Maine,34
Maryland,46
Massachusetts,42
Michigan,32
Minnesota,35
Mississippi,100
Missouri,47
Montana,33
Nebraska,46
Nevada,35
New Hampshire,55
New Jersey,56
New Mexico,44
New York,55
North Carolina,51
North Dakota,51
Ohio,40
Oklahoma,62
Oregon,27
Pennsylvania,47
Rhode Island,33
South Carolina,53
South Dakota,39
Tennessee,63
Texas,46
Utah,41
Vermont,28
Virginia,41
Washington,41
West Virginia,46
Wisconsin,40
Wyoming,38
