date,dog days,isPartial
2012-01-01,27,False
2012-01-08,25,False
2012-01-15,22,False
2012-01-22,23,False
2012-01-29,23,False
2012-02-05,28,False
2012-02-12,24,False
2012-02-19,22,False
2012-02-26,23,False
2012-03-04,24,False
2012-03-11,26,False
2012-03-18,23,False
2012-03-25,20,False
2012-04-01,25,False
2012-04-08,21,False
2012-04-15,27,False
2012-04-22,22,False
2012-04-29,25,False
2012-05-06,27,False
2012-05-13,24,False
2012-05-20,27,False
2012-05-27,27,False
2012-06-03,28,False
2012-06-10,26,False
2012-06-17,29,False
2012-06-24,33,False
2012-07-01,38,False
2012-07-08,43,False
2012-07-15,55,False
2012-07-22,63,False
2012-07-29,100,False
2012-08-05,88,False
2012-08-12,69,False
2012-08-19,55,False
2012-08-26,48,False
2012-09-02,54,False
2012-09-09,34,False
2012-09-16,36,False
2012-09-23,38,False
2012-09-30,38,False
2012-10-07,32,False
2012-10-14,48,False
2012-10-21,34,False
2012-10-28,29,False
2012-11-04,29,False
2012-11-11,32,False
2012-11-18,38,False
2012-11-25,29,False
2012-12-02,28,False
2012-12-09,32,False
2012-12-16,44,False
2012-12-23,43,False
2012-12-30,33,False
