geoName,donut
Alabama,54
Alaska,47
Arizona,62
Arkansas,60
California,78
Colorado,56
Connecticut,87
Delaware,57
District of Columbia,62
Florida,68
Georgia,54
Hawaii,51
Idaho,50
Illinois,64
Indiana,71
Iowa,83
Kansas,84
Kentucky,57
Louisiana,74
Maine,100
Maryland,57
Massachusetts,68
Michigan,59
Minnesota,58
Mississippi,63
Missouri,83
Montana,37
Nebraska,91
Nevada,80
New Hampshire,59
New Jersey,61
New Mexico,64
New York,59
North Carolina,50
North Dakota,49
Ohio,68
Oklahoma,79
Oregon,58
Pennsylvania,57
Rhode Island,74
South Carolina,50
South Dakota,41
Tennessee,61
Texas,71
Utah,87
Vermont,61
Virginia,55
Washington,56
West Virginia,60
Wisconsin,58
Wyoming,44
