geoName,down
Alabama,93
Alaska,86
Arizona,82
Arkansas,95
California,79
Colorado,87
Connecticut,80
Delaware,87
District of Columbia,81
Florida,79
Georgia,88
Hawaii,84
Idaho,88
Illinois,81
Indiana,89
Iowa,85
Kansas,76
Kentucky,92
Louisiana,87
Maine,94
Maryland,82
Massachusetts,84
Michigan,90
Minnesota,82
Mississippi,100
Missouri,87
Montana,89
Nebraska,83
Nevada,81
New Hampshire,87
New Jersey,79
New Mexico,86
New York,79
North Carolina,88
North Dakota,82
Ohio,86
Oklahoma,84
Oregon,69
Pennsylvania,85
Rhode Island,80
South Carolina,93
South Dakota,83
Tennessee,99
Texas,80
Utah,88
Vermont,94
Virginia,69
Washington,84
West Virginia,91
Wisconsin,83
Wyoming,94
