geoName,dreadful
Alabama,73
Alaska,100
Arizona,78
Arkansas,82
California,83
Colorado,70
Connecticut,69
Delaware,91
District of Columbia,79
Florida,73
Georgia,64
Hawaii,93
Idaho,72
Illinois,62
Indiana,64
Iowa,55
Kansas,57
Kentucky,75
Louisiana,84
Maine,71
Maryland,84
Massachusetts,85
Michigan,66
Minnesota,72
Mississippi,58
Missouri,72
Montana,75
Nebraska,58
Nevada,71
New Hampshire,89
New Jersey,85
New Mexico,95
New York,87
North Carolina,61
North Dakota,53
Ohio,62
Oklahoma,80
Oregon,60
Pennsylvania,87
Rhode Island,59
South Carolina,67
South Dakota,47
Tennessee,71
Texas,63
Utah,54
Vermont,61
Virginia,53
Washington,74
West Virginia,85
Wisconsin,53
Wyoming,62
